theta_arcsec,intensity,enclosed_fraction
4.095,7.30520010808868E-06,0.9948847566423941
4.1,7.271815878122772E-06,0.9948955836024941
4.105,7.238628365147001E-06,0.9949063644035164
4.11,7.205132500405803E-06,0.9949171177940885
4.115,7.172333017311949E-06,0.9949278266802232
4.12,7.1397260647863796E-06,0.9949385075948612
4.125,7.10681243195841E-06,0.9949491450615133
4.13,7.0745852598574675E-06,0.9949597541991811
4.135,7.042546536725987E-06,0.9949703203679688
4.14,7.010202818955741E-06,0.99498085848819
4.1450000000000005,6.97853583309455E-06,0.994991354216078
4.15,6.9470533164030196E-06,0.9950018223674366
4.155,6.915267503666073E-06,0.9950122481392788
4.16,6.88414888143506E-06,0.9950226469981056
4.165,6.853210847471426E-06,0.9950330029308705
4.17,6.8219712277811406E-06,0.9950433332202385
4.175,6.7913894400812835E-06,0.9950536201547538
4.18,6.7609844558153854E-06,0.9950638828954586
4.1850000000000005,6.73027960670017E-06,0.995074101306265
4.19,6.700223409566973E-06,0.9950842971684529
4.195,6.670340324360879E-06,0.9950944471679132
4.2,6.6401591046611485E-06,0.995104576808024
4.205,6.6106175311409616E-06,0.9951146592212525
4.21,6.581245468731042E-06,0.9951247236488489
4.215,6.551577010594386E-06,0.9951347389403049
4.22,6.5225393629165516E-06,0.9951447388351745
4.225,6.493667713648736E-06,0.9951546871126616
4.23,6.464501414848087E-06,0.9951646230355824
4.235,6.435957256813314E-06,0.995174505108911
4.24,6.4075756701327465E-06,0.9951843780741474
4.245,6.378901186585198E-06,0.9951941943979227
4.25,6.350840336222216E-06,0.9952040051101468
4.255,6.322938713403889E-06,0.9952137557876599
4.26,6.29474595192871E-06,0.9952235046840353
4.265,6.267158474367469E-06,0.9952331905101904
4.2700000000000005,6.239726961461677E-06,0.9952428763363455
4.275,6.2120060728006655E-06,0.9952525000448065
4.28,6.184882273397911E-06,0.9952621214645756
4.285,6.1579112544116854E-06,0.9952716852345926
4.29,6.130652626432955E-06,0.9952812423468034
4.295,6.103983044059813E-06,0.9952907471465294
4.3,6.077463134356031E-06,0.9953002407315654
